provincia	diario	cant
Catamarca	El Ancasti	57270
Chaco	Norte	74294
Cordoba	Día a Día	29334
Cordoba	El Diario del Centro del País	23921
Cordoba	La Voz del Interior	258014
Cordoba	Puntal	26656
Entre Rios	Diario Uno de Entre Rios	36112
Jujuy	El Tribuno	63795
La Pampa	El Diario de la Pampa	19642
Mendoza	Diario Los Andes	127813
Mendoza	Diario Uno	69424
Misiones	El Territorio	30179
Misiones	Primera Edición	29022
Rio Negro	Rio Negro	114149
Salta	El Tribuno	124018
San Juan	Diario de Cuyo	54024
San Luis	El Diario de la Republica	20758
Santa Fe	El Litoral	67871
Santa Fe	La Capital	148545
Santiago del Estero	El Liberal	127820
Tucuman	La Gaceta	312335
